cluster,gene,logFC,pvals,adj_pvals
3,CXCL14,4.3274264,6.264325524826991e-12,1.0682354542665933e-10
3,MYO6,2.2911458,5.179007669670253e-12,8.89856606901542e-11
3,DNAJC1,2.164124,9.480141857664935e-12,1.5809248523817138e-10
3,CIRBP,1.1628268,4.046780248988349e-12,7.019711538125532e-11
3,PRDX2,1.3545479,4.845625743908559e-12,8.349492191999093e-11
3,AC123023.1,29.507956,2.2384547562515816e-11,3.534215994555574e-10
3,FGF10,7.26175,2.590500584428918e-11,4.055095344900086e-10
3,S100A14,1.5421205,9.643451991352115e-12,1.6052052731610633e-10
3,ATP1B1,1.8025229,1.8006042401812273e-11,2.8732000934652384e-10
3,AC018816.1,4.384159,3.975260763441175e-11,6.025046142048343e-10
3,NOVA1,3.3046846,4.276573686849849e-11,6.454741983474372e-10
3,HIST3H2A,2.417491,9.544925121990985e-11,1.3688358994171724e-09
3,ANAPC11,1.1787342,5.751794272780697e-11,8.490453972532222e-10
3,PRSS23,2.218554,1.3844223374473323e-10,1.945381683016108e-09
3,PMVK,1.7032961,1.3763595350510413e-10,1.9355523112389624e-09
3,KTN1,1.1023881,8.591717425644769e-11,1.2439461803088078e-09
3,ELOVL5,1.8858926,2.015175272380485e-10,2.7736584785452585e-09
3,KRT18,1.3834554,1.1757002344469215e-10,1.6702130211457167e-09
3,TMEM230,1.5381522,5.012598128301701e-10,6.560531860774363e-09
3,HOXB2,2.6152694,9.728046476661041e-10,1.2288522542329944e-08
3,RARRES3,1.7803235,9.161034330997209e-10,1.1645306403785864e-08
3,FHL2,2.0309868,1.124694256790643e-09,1.405053948507511e-08
3,SEC11A,1.2619354,1.0148503845522474e-09,1.276626850852088e-08
3,IFITM1,1.8822175,9.75217849631056e-10,1.2310427548929075e-08
3,ELL2,2.3456829,1.4509779693470145e-09,1.7880270326548832e-08
3,EVL,1.4573411,9.865477033399048e-10,1.2436126716580288e-08
3,RAB13,1.3888582,1.534032401962536e-09,1.8839705521934205e-08
3,RABAC1,1.2653006,1.6110181324210485e-09,1.9666766110569548e-08
3,ECM1,2.7105417,3.114315944060406e-09,3.646847875838694e-08
3,RNASEH2C,1.714307,6.158810396259627e-09,6.865975157010964e-08
3,MRPL24,1.7601479,6.535370491225908e-09,7.251449422937717e-08
3,C11orf58,1.0532273,4.769773350581637e-09,5.4173985918542186e-08
3,TOMM20,1.0868801,6.77967928889337e-09,7.502762299741766e-08
3,MGST3,1.1083945,7.674575261137934e-09,8.421127467230469e-08
3,SLC7A2,2.4040558,1.0863983230830156e-08,1.1708170274985627e-07
3,NME1,1.4263858,1.085671171699149e-08,1.1707294068643947e-07
3,DSP,1.517458,1.2369250753436133e-08,1.3228165687760283e-07
3,SCUBE2,2.5697083,1.578261092196949e-08,1.6537074461418553e-07
3,TMEM147,1.3408834,1.2965787052795062e-08,1.3809096469213637e-07
3,RWDD1,1.1593467,1.2191172953703203e-08,1.3046400207240838e-07
3,ATP5PO,1.1184695,1.2804778627039123e-08,1.3645633284675967e-07
3,PRDX5,1.2029948,1.5499103149133427e-08,1.6268224828276877e-07
3,IL6ST,1.6186545,1.763252689841877e-08,1.8348152416052642e-07
3,LDLRAD4,1.9956226,1.9218235499333916e-08,1.985008290008125e-07
3,MRPL55,1.4093765,1.7663391255608858e-08,1.8369724227792412e-07
3,MRPS14,1.622164,1.9040308882783656e-08,1.969998168482987e-07
3,ZG16B,2.0316634,2.0338811719204836e-08,2.093592504452164e-07
3,HSPA1B,1.4816154,1.748610561112027e-08,1.820623988585739e-07
3,POLR2J3.1,1.5222093,2.0126156045813846e-08,2.0740581616968025e-07
3,RAB30,3.2054348,3.1158688470593236e-08,3.11596209042223e-07
3,ENPP1,2.7708218,3.016719252994969e-08,3.026325722535905e-07
3,CAMLG,1.500731,3.077429397745179e-08,3.080318205020809e-07
3,BASP1,2.1161249,3.603821073753465e-08,3.569752164149129e-07
3,LTBP1,3.1751273,4.368733961657051e-08,4.264514836992857e-07
3,SQSTM1,1.0648594,2.7310902328453374e-08,2.7595581187729896e-07
