group	gene	logFC	pvals	adj_pvals
28	ZNF25	1.5783813	3.7948168436129186e-14	2.4042552171838454e-13
28	TBCCD1	2.0479655	3.8920443491239225e-14	2.465201925264747e-13
28	GBA	1.1486744	4.3519842362726376e-14	2.749971122296768e-13
28	LOC642236	2.6740592	4.5333867387259517e-14	2.8615732549514013e-13
28	ZNF266	1.3351426	5.0910576828021177e-14	3.209352308897687e-13
28	TBCK	1.7975429	5.2129979458295166e-14	3.283625806436781e-13
28	PCNXL4	1.0375085	5.186375637100776e-14	3.2677172316264295e-13
28	DACH1	4.671992	5.843996384635627e-14	3.671417429244294e-13
28	UPK3BL	1.1529834	6.12157304262763e-14	3.8377368928053757e-13
28	GK5	1.9697595	6.246709122187397e-14	3.914135239071416e-13
28	TBC1D23	1.282634	6.216037797134922e-14	3.895937526050208e-13
28	RGMB	1.4494767	6.255464881491452e-14	3.918594907559746e-13
28	CUL4B	1.242235	6.536888629762028e-14	4.0916714304637124e-13
28	ADD3	1.1007975	6.57811211768437e-14	4.115320625651505e-13
28	ZNF254	2.4005468	6.754243853536184e-14	4.221093552260906e-13
28	SNORD10	2.1243358	6.808707458385099e-14	4.2529082340610184e-13
28	HOXA6	5.7551394	6.922937516490803e-14	4.319746845340739e-13
28	ADAMTS9-AS2	3.0594115	6.883166276392039e-14	4.296051352621826e-13
28	AGO1	1.8447565	6.98815942996494e-14	4.3593064446132364e-13
28	PI4KAP1	1.7597325	7.153584688011532e-14	4.4590118577839923e-13
28	TMEM198B	1.6072766	7.559648750149904e-14	4.70476500539514e-13
28	RABGEF1	1.6646127	7.55756382028741e-14	4.704691668136751e-13
28	PMS2P4	2.3310914	7.629506006779385e-14	4.745771005569377e-13
28	PXMP4	2.1200948	7.699763407072235e-14	4.788227805692839e-13
28	ATP1B2	1.3813974	8.142346889978005e-14	5.059509237921639e-13
28	EXOSC10	1.0594072	8.457881289595799e-14	5.251483561870786e-13
28	SORBS1	2.3400817	8.807233661802033e-14	5.462723223270729e-13
28	MIR5047	2.1829276	8.957209209646106e-14	5.55286606187418e-13
28	METTL3	1.2959874	9.230194545686892e-14	5.714692284473036e-13
28	LRRC37BP1	1.6757412	9.506313985249004e-14	5.882600558478665e-13
28	TSPAN6	1.5294099	9.815789891548693e-14	6.067827522258207e-13
28	LINC00265	1.2223862	9.636946866301865e-14	5.960353198896862e-13
28	NAT10	1.7509733	9.879009606774844e-14	6.105330045613281e-13
28	GSTT2	2.8594637	1.0086269123004145e-13	6.228590204360705e-13
