gene	logFC	pvals	adj_pvals	cluster
ERP27	4.250482	4.837159033047899e-06	9.48462555499588e-06	15
TNFSF10	1.6251359	5.9090222863787095e-06	1.1496152308129785e-05	15
JAKMIP1	3.3445215	6.8856661872714125e-06	1.3357257395288871e-05	15
ADORA2A	2.5475953	7.340684906274991e-06	1.4193700166069377e-05	15
NCF4	1.6257089	7.712067405075218e-06	1.488816101365872e-05	15
TNFRSF4	1.4645585	1.0266645386720321e-05	1.9743548820616002e-05	15
HCG26	2.8884723	1.0659807226655154e-05	2.0460282584750776e-05	15
HSH2D	2.166308	1.2781936746898708e-05	2.4393009058967e-05	15
GBP1	1.2840286	1.3084435858898576e-05	2.4946493534601673e-05	15
CD8B	1.9342102	1.387536225104247e-05	2.6429261430557084e-05	15
XCL1	3.1849778	1.6100912973355717e-05	3.0552017027240445e-05	15
DAPP1	2.870399	1.6458869566167035e-05	3.120164846666737e-05	15
RAB37	2.279361	2.7968626606677275e-05	5.242479213997615e-05	15
TMIGD2	3.80342	3.0077800600411175e-05	5.63254692891595e-05	15
RAB9A	1.000841	3.0399847629848934e-05	5.687529958811775e-05	15
IRF4	1.4611834	3.73210449682503e-05	6.970455872994066e-05	15
CD38	2.8522885	4.4539752455902086e-05	8.278764397007822e-05	15
ZSCAN16	2.465751	5.155950843079024e-05	9.521608205132085e-05	15
CISH	2.1865346	5.5512253162897885e-05	0.00010242113129685956	15
CD8A	1.4188378	5.599631596951503e-05	0.00010321901561200927	15
IFI44	1.2107513	6.402518396575746e-05	0.00011791009938445203	15
ITPRIPL1	3.3250935	6.96397249912772e-05	0.00012789664828517393	15
ABHD3	1.1625752	8.134666355897185e-05	0.0001488502535388323	15
DBR1	1.651467	8.417230314438715e-05	0.00015387989605920868	15
MLKL	2.0572731	8.787033215584331e-05	0.0001604937573622709	15
ZBTB32	3.3842149	9.476111502131196e-05	0.0001726067668876356	15
PTTG1	1.2581587	0.00010784859628078152	0.00019573247963844195	15
IL9R	3.4742694	0.00010999617240280284	0.0001994490886723533	15
LINC00426	4.8901615	0.00014350520334089703	0.0002581028837066493	15
TMEM14E	2.96243	0.00014424477471981426	0.00025919995457289176	15
ZNF92	1.5661755	0.00015135135135473283	0.000271725944981567	15
CCR8	12.40291	0.00016677485976008738	0.000298345008515362	15
PTGDR	2.9756882	0.00017874537486511246	0.00031890343419288574	15
ZNF675	1.8117855	0.00018268278971559474	0.00032563777132904587	15
LINC00239	4.589471	0.00026580984143566197	0.0004704598963463044	15
